City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,bereeda,11.8704,51.0579,301.85,69,9,2.47,SO,2023-10-13 05:24:31
150,ribeira grande,38.5167,-28.7,291.91,86,100,2.68,PT,2023-10-13 05:24:32
151,saint-mandrier-sur-mer,43.078,5.929,291.36,87,0,3.09,FR,2023-10-13 05:24:32
152,petropavlovsk-kamchatsky,53.0452,158.6483,280.48,73,20,6.71,RU,2023-10-13 05:24:34
153,fortaleza,-3.7227,-38.5247,300.22,83,75,5.66,BR,2023-10-13 05:23:36
154,afaahiti,-17.75,-149.2833,299.08,81,12,7.01,PF,2023-10-13 05:23:15
155,aras-asan,8.8908,126.3033,301.82,77,78,1.5,PH,2023-10-13 05:24:36
156,kapa'a,22.0752,-159.319,301.14,80,0,5.14,US,2023-10-13 05:24:37
157,gizo,-8.103,156.8419,300.6,79,97,3.46,SB,2023-10-13 05:24:38
158,kzyltu,53.6364,72.3414,280.86,41,8,8.18,KZ,2023-10-13 05:24:38
159,dickinson,29.4608,-95.0513,295.92,89,20,2.06,US,2023-10-13 05:24:39
160,bria,6.5423,21.9863,293.73,94,100,0.78,CF,2023-10-13 05:24:40
161,ingeniero jacobacci,-41.3427,-69.5448,283.96,43,66,2.53,AR,2023-10-13 05:24:40
162,arkhangel'sk,64.5401,40.5433,277.66,94,100,2.62,RU,2023-10-13 05:24:42
163,ponta delgada,37.7333,-25.6667,293.55,83,20,3.09,PT,2023-10-13 05:24:42
164,zemio,5.0314,25.1361,294.88,96,96,0.77,CF,2023-10-13 05:24:43
165,argo,37.6333,22.7333,288.59,55,0,1.42,GR,2023-10-13 05:24:44
166,asaba,6.2006,6.7338,296.97,95,100,1.22,NG,2023-10-13 05:24:44
167,wailua homesteads,22.0669,-159.378,300.39,81,0,5.14,US,2023-10-13 05:24:45
168,baruun-urt,46.6806,113.2792,286.03,29,0,5.96,MN,2023-10-13 05:24:46
169,portland,45.5234,-122.6762,291.14,63,0,7.72,US,2023-10-13 05:17:42
170,sotouboua,8.5667,0.9833,295.61,95,100,0.7,TG,2023-10-13 05:21:07
171,basco,20.4487,121.9702,300.83,74,34,5.09,PH,2023-10-13 05:24:48
172,kodiak,57.79,-152.4072,276.88,70,100,3.09,US,2023-10-13 05:24:49
173,jincheng,35.5022,112.8328,294.55,33,97,3.25,CN,2023-10-13 05:24:50
174,contamana,-7.3333,-75.0167,297.39,78,94,1.24,PE,2023-10-13 05:23:14
175,kosong,38.3788,128.4676,293.42,59,100,2.38,KR,2023-10-13 05:24:51
176,aykhal,66.0,111.5,268.74,78,95,4.92,RU,2023-10-13 05:24:52
177,nowshahr,36.649,51.496,290.12,77,40,2.06,IR,2023-10-13 05:24:52
178,polyarnyy,69.1989,33.4478,276.95,74,100,9.37,RU,2023-10-13 05:24:53
179,kununurra,-15.7667,128.7333,312.14,25,75,3.09,AU,2023-10-13 05:24:54
180,hammerfest,70.6634,23.6821,273.4,93,75,0.0,NO,2023-10-13 05:24:55
181,el carril,-25.0741,-65.4917,281.95,58,100,1.35,AR,2023-10-13 05:24:56
182,suratgarh,29.3167,73.9,307.07,13,0,6.2,IN,2023-10-13 05:24:56
183,lihue,21.9789,-159.3672,300.73,80,0,5.14,US,2023-10-13 05:24:57
184,ujae,8.9322,165.7642,301.54,74,100,1.92,MH,2023-10-13 05:24:57
185,bikenibeu village,1.3673,173.1241,304.13,70,40,1.54,KI,2023-10-13 05:24:59
186,sussex,41.1834,-74.6663,284.57,86,0,0.0,US,2023-10-13 05:24:59
187,tadine,-21.55,167.8833,295.06,79,92,7.06,NC,2023-10-13 05:25:00
188,akureyri,65.6835,-18.0878,274.11,80,100,11.32,IS,2023-10-13 05:25:01
189,luderitz,-26.6481,15.1594,286.82,77,3,6.9,NA,2023-10-13 05:25:01
190,lebu,-37.6167,-73.65,282.04,88,8,7.75,CL,2023-10-13 05:25:02
191,carutapera,-1.195,-46.02,297.5,93,26,2.38,BR,2023-10-13 05:25:03
192,tura,25.5198,90.2201,301.58,55,0,1.48,IN,2023-10-13 05:25:04
193,novyy chirkey,43.162,47.0559,287.94,54,7,1.21,RU,2023-10-13 05:25:05
194,sumbe,-11.2061,13.8437,295.96,89,79,2.35,AO,2023-10-13 05:25:06
195,colonia,50.9333,6.95,292.45,90,100,4.63,DE,2023-10-13 05:25:07
196,kitakami,39.2833,141.1167,294.34,56,40,4.63,JP,2023-10-13 05:25:07
197,castilho,-20.8722,-51.4875,296.31,85,74,4.78,BR,2023-10-13 05:25:08
198,chimichagua,9.2578,-73.8123,297.61,98,7,0.53,CO,2023-10-13 05:25:10
199,kyshtovka,56.555,76.6271,279.45,58,66,6.71,RU,2023-10-13 05:25:10
200,itoman,26.1247,127.6694,301.58,62,20,8.23,JP,2023-10-13 05:25:11
201,albu kamal,34.45,40.9186,298.7,38,0,2.87,SY,2023-10-13 05:25:12
202,albany,42.6001,-73.9662,282.24,84,26,2.57,US,2023-10-13 05:20:43
203,veraval,20.9,70.3667,302.87,64,6,1.62,IN,2023-10-13 05:25:13
204,tupancireta,-29.0806,-53.8358,280.33,95,15,4.78,BR,2023-10-13 05:25:14
205,covilha,40.286,-7.504,289.02,60,71,1.19,PT,2023-10-13 05:25:14
206,saint-pierre,-21.3393,55.4781,300.13,69,0,8.23,RE,2023-10-13 05:24:42
207,strugi-krasnyye,58.2675,29.1114,279.15,85,7,5.12,RU,2023-10-13 05:25:16
208,weno,7.4515,151.8468,301.12,89,100,3.6,FM,2023-10-13 05:25:17
209,brandon,27.9378,-82.2859,300.88,92,72,1.79,US,2023-10-13 05:25:18
210,nyurba,63.2842,118.3319,269.88,49,63,3.1,RU,2023-10-13 05:25:18
211,san clemente del tuyu,-36.3569,-56.7235,279.81,64,0,2.74,AR,2023-10-13 05:24:59
212,invercargill,-46.4,168.35,292.6,48,23,4.92,NZ,2023-10-13 05:25:20
213,maintirano,-18.0667,44.0167,299.96,72,4,2.05,MG,2023-10-13 05:25:20
214,odder,55.9731,10.153,284.95,84,83,6.24,DK,2023-10-13 05:25:21
215,chonchi,-42.6128,-73.8092,278.77,96,31,1.25,CL,2023-10-13 05:25:22
216,turinsk,58.0458,63.696,277.03,67,100,4.02,RU,2023-10-13 05:25:22
217,paracatu,-17.2222,-46.8747,300.01,44,47,1.05,BR,2023-10-13 05:25:23
218,rudnyy,52.9594,63.1206,278.28,55,70,9.48,KZ,2023-10-13 05:25:24
219,colares,38.7992,-9.4469,294.25,81,100,7.15,PT,2023-10-13 05:25:24
220,fort st. john,56.2499,-120.8529,280.09,81,20,4.63,CA,2023-10-13 05:25:25
221,thunder bay,48.4001,-89.3168,274.14,100,0,1.03,CA,2023-10-13 05:25:26
222,zaozersk,69.4005,32.4476,275.44,78,100,5.92,RU,2023-10-13 05:25:26
223,nar'yan-mar,67.6713,53.087,274.32,76,100,4.02,RU,2023-10-13 05:25:27
224,makueni boma,-1.8041,37.6203,294.28,59,86,0.61,KE,2023-10-13 05:24:51
225,punta arenas,-53.15,-70.9167,280.21,81,40,7.72,CL,2023-10-13 05:25:28
226,mabamba,-3.5983,30.5019,293.63,74,59,1.25,TZ,2023-10-13 05:25:29
227,baia sprie,47.6619,23.6922,286.05,94,20,2.57,RO,2023-10-13 05:25:30
228,komatipoort,-25.4332,31.9548,295.96,70,97,1.28,ZA,2023-10-13 05:25:31
229,olyokminsk,60.3736,120.4264,277.03,95,99,4.02,RU,2023-10-13 05:25:31
230,iwon-up,40.3231,128.6553,292.73,48,99,3.87,KP,2023-10-13 05:25:33
231,nantucket,41.2835,-70.0995,287.21,100,0,2.06,US,2023-10-13 05:25:33
232,vila franca do campo,37.7167,-25.4333,293.38,99,100,2.42,PT,2023-10-13 05:25:34
233,bodo,67.28,14.405,274.17,86,0,5.66,NO,2023-10-13 05:25:35
234,kismayo,-0.3582,42.5454,300.32,77,39,4.02,SO,2023-10-13 05:25:36
235,mahina,-17.5065,-149.489,300.02,69,75,1.54,PF,2023-10-13 05:25:36
236,enshi,30.3,109.4833,288.17,96,100,0.29,CN,2023-10-13 05:25:37
237,quinhamel,11.8833,-15.85,297.29,87,98,0.72,GW,2023-10-13 05:25:38
238,whakatane,-37.9585,176.9854,293.64,75,0,3.53,NZ,2023-10-13 05:25:38
239,totness,5.8833,-56.3167,300.54,82,11,5.52,SR,2023-10-13 05:25:39
240,grande prairie,55.1667,-118.8027,277.25,93,0,0.0,CA,2023-10-13 05:25:40
241,isla vista,34.4133,-119.861,295.28,62,0,0.0,US,2023-10-13 05:25:40
242,bredasdorp,-34.5322,20.0403,284.85,82,0,2.21,ZA,2023-10-13 05:25:41
243,nieuw amsterdam,5.8833,-55.0833,300.94,85,2,4.06,SR,2023-10-13 05:25:41
244,shubarshi,48.5872,57.1869,281.04,58,7,5.75,KZ,2023-10-13 05:25:42
245,saint-philippe,-21.3585,55.7679,298.92,84,91,3.66,RE,2023-10-13 05:25:43
246,kalifornsky,60.4183,-151.29,277.26,98,100,2.06,US,2023-10-13 05:25:43
247,fada,9.5667,8.3,293.48,82,99,1.7,NG,2023-10-13 05:25:44
248,bhimunipatnam,17.8833,83.4333,304.88,63,3,2.23,IN,2023-10-13 05:25:45
249,kievka,50.2619,71.5514,279.34,32,0,1.7,KZ,2023-10-13 05:25:46
250,massakory,12.996,15.7293,302.45,27,36,2.62,TD,2023-10-13 05:25:46
251,vilyuysk,63.7553,121.6247,271.03,82,100,4.92,RU,2023-10-13 05:25:47
252,filingue,14.3521,3.3168,303.36,22,27,3.68,NE,2023-10-13 05:25:48
253,rundu,-17.9333,19.7667,297.43,36,96,2.68,NA,2023-10-13 05:25:49
254,dudinka,69.4058,86.1778,274.64,93,96,6.71,RU,2023-10-13 05:25:49
255,mitu,1.1983,-70.1733,295.32,87,74,1.02,CO,2023-10-13 05:25:50
256,yibin,28.7667,104.6238,290.05,92,100,1.08,CN,2023-10-13 05:25:51
257,nemuro,43.3236,145.575,288.69,66,0,4.89,JP,2023-10-13 05:25:52
258,tsiombe,-25.3,45.4833,298.59,65,24,4.44,MG,2023-10-13 05:25:53
259,st. john's,47.5649,-52.7093,285.46,99,100,2.06,CA,2023-10-13 05:25:53
260,hermanus,-34.4187,19.2345,286.52,74,3,2.48,ZA,2023-10-13 05:25:54
261,san pedro,14.35,121.0167,304.96,73,40,3.13,PH,2023-10-13 05:24:24
262,newman,37.3138,-121.0208,289.98,31,98,1.33,US,2023-10-13 05:25:55
263,lerwick,60.1545,-1.1494,282.15,68,98,10.45,GB,2023-10-13 05:25:56
264,machico,32.7,-16.7667,297.5,73,40,0.51,PT,2023-10-13 05:25:57
265,chengdu,30.6667,104.0667,295.85,62,20,1.0,CN,2023-10-13 05:23:07
266,hovd,48.0056,91.6419,288.55,22,51,0.29,MN,2023-10-13 05:25:58
267,an nuhud,12.7,28.4333,301.71,42,39,1.18,SD,2023-10-13 05:25:59
268,buka,40.8108,69.1986,283.67,46,90,3.05,UZ,2023-10-13 05:25:59
269,biga,40.2281,27.2422,286.44,92,0,0.91,TR,2023-10-13 05:26:00
270,petrovsk-zabaykal'skiy,51.273,108.843,287.2,46,27,2.68,RU,2023-10-13 05:26:00
271,baiquan,47.5833,126.0833,291.94,32,0,4.93,CN,2023-10-13 05:26:01
272,kattivakkam,13.2167,80.3167,304.2,64,100,3.03,IN,2023-10-13 05:26:02
273,sebin karahisar,40.2883,38.4236,283.53,47,0,0.49,TR,2023-10-13 05:26:02
274,taltal,-25.4,-70.4833,288.97,76,0,1.79,CL,2023-10-13 05:26:03
275,indianola,41.3581,-93.5574,292.42,76,97,4.02,US,2023-10-13 05:26:04
276,copiapo,-27.3667,-70.3333,283.98,41,0,0.73,CL,2023-10-13 05:26:04
277,hithadhoo,-0.6,73.0833,300.7,72,80,5.42,MV,2023-10-13 05:26:06
278,bulayevo,54.9056,70.4439,279.9,47,60,9.3,KZ,2023-10-13 05:26:06
279,albardon,-31.4372,-68.5256,287.75,32,0,2.45,AR,2023-10-13 05:26:07
280,ormara,25.2088,64.6357,300.78,75,88,3.41,PK,2023-10-13 05:26:08
281,camacupa,-12.0167,17.4833,291.1,75,25,1.59,AO,2023-10-13 05:26:08
282,nayoro,44.3506,142.4578,290.83,63,6,5.62,JP,2023-10-13 05:26:09
283,darab,28.7519,54.5444,301.3,17,0,1.38,IR,2023-10-13 05:26:10
284,chebba,35.2372,11.115,295.02,59,0,2.3,TN,2023-10-13 05:26:10
285,lospalos,-8.5186,127.0025,304.58,42,32,3.54,TL,2023-10-13 05:26:11
286,tangalle,6.024,80.7911,301.24,85,99,0.6,LK,2023-10-13 05:26:12
287,tindouf,27.6711,-8.1474,292.4,27,0,3.6,DZ,2023-10-13 05:26:13
288,suoyarvi,62.0833,32.35,275.86,83,98,6.79,RU,2023-10-13 05:26:13
289,monki,53.405,22.7979,278.53,93,16,3.0,PL,2023-10-13 05:26:14
290,masterton,-40.9597,175.6575,286.42,67,45,3.78,NZ,2023-10-13 05:26:15
291,hobyo,5.3505,48.5268,301.1,75,29,3.72,SO,2023-10-13 05:26:15
292,malindi,-3.2175,40.1191,300.24,83,20,3.09,KE,2023-10-13 05:26:16
293,yulinshi,38.2906,109.7494,291.88,22,0,5.63,CN,2023-10-13 05:26:17
294,northam,51.0333,-4.2167,291.7,97,100,12.17,GB,2023-10-13 05:26:17
295,port hedland,-20.3167,118.5667,312.18,16,3,6.17,AU,2023-10-13 05:26:19
296,bukama,-9.2,25.85,297.35,74,65,0.83,CD,2023-10-13 05:26:20
297,dingli,35.8614,14.3822,291.24,94,20,0.51,MT,2023-10-13 05:26:21
298,port shepstone,-30.7414,30.455,291.68,72,0,2.01,ZA,2023-10-13 05:26:22
299,rovereto,45.8896,11.0387,291.86,86,99,0.85,IT,2023-10-13 05:26:13
300,calderitas,18.55,-88.25,301.86,87,84,4.21,MX,2023-10-13 05:26:23
